country,site_name,genotype_id,depth_m,date_collection,date_surveyed,complete_recent_mortality_yn,percent_recent_mortality,latitude_dd,longitude_dd
Antigua,Exchange Bay,ACER01,1,2021-07-19T00:00:00Z,2025-08-12T00:00:00Z,Y,100,17.04230,-61.68254
Antigua,Cervi Heaven,ACER02,2,2021-07-20T00:00:00Z,2025-08-12T00:00:00Z,Y,100,17.07555,-61.66780
Antigua,Little Bird Channel,ACER04,2,2021-07-21T00:00:00Z,2025-04-29T00:00:00Z,Y,100,17.16514,-61.73107
Antigua,Little Bird Channel,ACER05,2,2021-07-21T00:00:00Z,2025-04-29T00:00:00Z,Y,100,17.16578,-61.73129
Antigua,Great Bird,ACER06,4,2021-07-21T00:00:00Z,2025-04-29T00:00:00Z,Y,100,17.14907,-61.72346
Antigua,Hells Gate,ACER09,4,2021-07-28T00:00:00Z,2025-04-30T00:00:00Z,Y,100,17.14007,-61.72090
Antigua,Indian Creek,ACER10,2,2023-03-24T00:00:00Z,2025-08-15T00:00:00Z,Y,100,17.00296,-61.73752
Antigua,Hells Gate,ACER11,1,2021-11-10T00:00:00Z,2025-04-30T00:00:00Z,Y,100,17.14012,-61.72177
Antigua,Little Bird Channel,APAL09,1,2021-07-21T00:00:00Z,2025-04-29T00:00:00Z,Y,100,17.16488,-61.73041
Antigua,Great Bird,APAL10,4,2021-07-21T00:00:00Z,2025-04-29T00:00:00Z,N,80,17.14898,-61.72344
Antigua,Hells Gate,APAL12,2,2021-07-21T00:00:00Z,2025-04-30T00:00:00Z,Y,100,17.13962,-61.72119
Antigua,Man of War,APAL14,5,2021-07-22T00:00:00Z,2025-08-12T00:00:00Z,N,90,17.06577,-61.66278
Antigua,York Island,APAL16,1,2021-07-27T00:00:00Z,2025-08-12T00:00:00Z,Y,100,17.05228,-61.66991
Antigua,Hells Gate,APAL17,1,2021-07-27T00:00:00Z,2025-04-30T00:00:00Z,Y,100,17.14219,-61.72160
Antigua,Hells Gate,APAL18,2,2021-07-27T00:00:00Z,2025-04-30T00:00:00Z,Y,100,17.14060,-61.72110
Antigua,Hells Gate,APAL19,2,2021-07-27T00:00:00Z,2025-04-30T00:00:00Z,Y,100,17.13997,-61.72181
Antigua,Great Bird,APAL21,3,2021-07-27T00:00:00Z,2025-04-29T00:00:00Z,Y,100,17.14823,-61.72320
Antigua,Great Bird,APAL22,3,2021-07-27T00:00:00Z,2025-04-29T00:00:00Z,Y,100,17.14790,-61.72312
Antigua,Great Bird,APAL23,4,2021-07-27T00:00:00Z,2025-04-29T00:00:00Z,N,0,17.14703,-61.72286
Antigua,Hells Gate,APAL24,1,2021-11-02T00:00:00Z,2025-04-30T00:00:00Z,Y,100,17.13991,-61.72139
Antigua,Man of War,APAL26,5,2021-11-03T00:00:00Z,2025-08-12T00:00:00Z,N,10,17.06555,-61.66297
Antigua,South Hells Gate,APAL28,3,2021-11-10T00:00:00Z,2025-08-12T00:00:00Z,N,20,17.13721,-61.71935
Antigua,Indian Creek,APAL31,1,2023-03-24T00:00:00Z,2025-08-15T00:00:00Z,Y,100,17.00258,-61.73738
Antigua,Snapper Point,APAL32,1,2023-03-24T00:00:00Z,2025-08-15T00:00:00Z,Y,100,17.00232,-61.76861
Antigua,Snapper Point,APAL33,3,2023-03-24T00:00:00Z,2025-08-15T00:00:00Z,N,10,17.00237,-61.76848
Antigua,Indian Creek,APAL34A,3,2023-03-24T00:00:00Z,2025-08-15T00:00:00Z,Y,100,17.00239,-61.73770
Antigua,Seatons Mount,APAL34B,4,2023-04-20T00:00:00Z,2025-05-08T00:00:00Z,N,80,17.11440,-61.69426
Antigua,Snapper Point,APAL35,3,2023-04-12T00:00:00Z,2025-08-15T00:00:00Z,Y,100,17.00291,-61.76781
Antigua,Snapper Point,APAL36,3,2023-04-12T00:00:00Z,2025-08-15T00:00:00Z,Y,100,17.00362,-61.76618
Antigua,Snapper Point,APAL37,3,2023-04-12T00:00:00Z,2025-08-15T00:00:00Z,Y,100,17.00317,-61.76694
Antigua,Devil's Bridge,APAL39,2,2023-04-18T00:00:00Z,2025-08-12T00:00:00Z,N,90,17.10228,-61.67737
Antigua,Seatons Mount,APAL40,3,2023-04-18T00:00:00Z,2025-05-08T00:00:00Z,Y,100,17.11409,-61.69470
Antigua,Seatons Mount,APAL41,4,2023-04-18T00:00:00Z,2025-05-08T00:00:00Z,Y,100,17.11439,-61.69538
Antigua,Seatons Mount,APAL42,4,2023-04-20T00:00:00Z,2025-05-08T00:00:00Z,N,0,17.11492,-61.69475
Antigua,Great Bird,APAL49,4,2024-01-13T00:00:00Z,2025-04-29T00:00:00Z,N,0,17.14769,-61.72296
Antigua,Great Bird,APAL50,4,2024-01-13T00:00:00Z,2025-04-29T00:00:00Z,N,0,17.14702,-61.72304
Antigua,Hells Gate,APAL52,3,2024-01-14T00:00:00Z,2025-04-30T00:00:00Z,N,50,17.14119,-61.72132
Antigua,Hells Gate,APAL53,4,2024-01-14T00:00:00Z,2025-04-30T00:00:00Z,N,0,17.14197,-61.72094
Antigua,Hells Gate,APAL53,4,2024-01-14T00:00:00Z,2025-04-30T00:00:00Z,N,0,17.14197,-61.72094
Antigua,Hells Gate,APAL54,5,2024-01-14T00:00:00Z,2025-04-30T00:00:00Z,N,0,17.14093,-61.72124
Antigua,Seatons Mount,APAL57,3,2024-03-20T00:00:00Z,2025-08-12T00:00:00Z,N,80,17.11453,-61.70122
Antigua,Seatons Mount,APAL58,4,2024-03-20T00:00:00Z,2025-08-12T00:00:00Z,N,30,17.11436,-61.70119
Antigua,Seatons Mount,APAL60,3,2024-03-20T00:00:00Z,2025-08-12T00:00:00Z,Y,100,17.11503,-61.70107
Antigua,Cades Reef,APAL61,5,2024-05-15T00:00:00Z,2025-04-25T00:00:00Z,N,0,17.00606,-61.85783
Antigua,Cades Reef,APAL62,4,2024-05-15T00:00:00Z,2025-04-25T00:00:00Z,N,80,17.00578,-61.85815
Antigua,Cades Reef,APAL64,7,2024-05-21T00:00:00Z,2025-04-25T00:00:00Z,N,90,17.00505,-61.86568
Antigua,Little Bird Channel,APRO02,3,2021-07-21T00:00:00Z,2025-04-29T00:00:00Z,Y,100,17.16483,-61.73036
Antigua,Hells Gate,APRO03,3,2021-07-21T00:00:00Z,2025-04-30T00:00:00Z,Y,100,17.14175,-61.72192
Antigua,Hells Gate,APRO04,3,2021-07-21T00:00:00Z,2025-04-30T00:00:00Z,Y,100,17.14029,-61.72191
Antigua,Hells Gate,APRO06,3,2021-07-28T00:00:00Z,2025-04-30T00:00:00Z,Y,100,17.14029,-61.72078
Antigua,Seatons Mount,APRO08,4,2024-03-20T00:00:00Z,2025-08-12T00:00:00Z,Y,100,17.11514,-61.70115
Antigua,South Hells Gate,APRO11,3,2021-11-10T00:00:00Z,2025-08-12T00:00:00Z,Y,100,17.13665,-61.72188